URL,Discount,Rating,Brand,Item,MRP,Reviews
tops/baesd/baesd-floral-print-tie-up-neck-cotton-top/26855844/buy,Rs. 374,3.8,BAESD,Floral Print Tie-Up Neck Top,Rs. 1499,646
tops/kibo/kibo-floral-printed-mandarin-collar-shirt-style-top/24578672/buy,Rs. 588,4,Kibo,Floral Printed Shirt Style Top,Rs. 1899,6.1k
tops/stylecast/stylecast-white--blue-floral-printed-v-neck-top/29307520/buy,Rs. 1149,3.1,StyleCast,Floral Printed V Neck Top,Rs. 2799,37
tops/trendyol/trendyol-one-shoulder-top/27680746/buy,Rs. 1574,3.9,Trendyol,One Shoulder Top,Rs. 2099,88
tops/rain+%26+rainbow/rain--rainbow-floral-print-cotton-empire-top/21059554/buy,Rs. 897,4.2,Rain & Rainbow,Pure Cotton Empire Top,Rs. 1795,2k
tops/roadster/roadster-women-grey--maroon-striped-pure-cotton-top/2314331/buy,Rs. 191,4.2,Roadster,Striped Pure Cotton Top,Rs. 799,7.2k
tops/qomn/qomn-coral--white-floral-print-mandarin-collar-pure-cotton-empire-top/19524872/buy,Rs. 959,4.4,QOMN,Floral Print Mandarin Collar Empire Top,Rs. 1499,8.1k
tops/maaesa/maaesa-tie--dye-dyed-extended-sleeves-crepe-shirt-style-top/25530460/buy,Rs. 698,4.1,Maaesa,Dyed Crepe Shirt Style Top,Rs. 1996,1.1k
tops/maaesa/maaesa-blue-tie-and-dye-shirt-style-top/16408298/buy,Rs. 698,4.1,Maaesa,Tie and Dye Shirt Style Top,Rs. 1995,4.6k
tops/trendyol/trendyol-high-neck-sleeveless-peplum-top/27117530/buy,Rs. 1574,3.6,Trendyol,Sleeveless Peplum Top,Rs. 2099,155
tops/trendyol/trendyol-high-neck-sleeveless-peplum-top/27117530/buy,Rs. 1574,3.6,Trendyol,Sleeveless Peplum Top,Rs. 2099,155
tops/mango/mango-pure-cotton-open-knit-shirt-style-top/30001079/buy,Rs. 3411,4,MANGO,Pure Cotton Shirt Style Top,Rs. 3790,4
tops/stylum/stylum-print-mandarin-collar-pure-cotton-top/28411170/buy,Rs. 639,4.3,Stylum,Print Pure Cotton Top,Rs. 1999,818
tops/rain+%26+rainbow/rain--rainbow-floral-printed-bell-sleeve-cotton-empire-top/25341158/buy,Rs. 997,4.2,Rain & Rainbow,Printed Bell Sleeve Empire Top,Rs. 1995,1k
tops/aahwan/aahwan-women-solid-square-neck-top/20663748/buy,Rs. 599,4,AAHWAN,Women Solid Square Neck Top,Rs. 1999,6.3k
tops/stylecast/stylecast-white-self-design-regular-top/26059102/buy,Rs. 949,4.4,StyleCast,Self Design Regular Top,Rs. 2499,53
tops/aahwan/aahwan-black-solid-basic-square-neck-top/20057450/buy,Rs. 599,4,AAHWAN,Solid Basic Square Neck Top,Rs. 1999,6.3k
tops/h%26m/hm-women-black-v-neck-blouse/17965052/buy,,4.5,H&M,V-Neck Blouse,,541
tops/rain+%26+rainbow/rain--rainbow-floral-printed-bell-sleeve-cotton-empire-top/25327966/buy,Rs. 997,4.2,Rain & Rainbow,Printed Bell Sleeve Empire Top,Rs. 1995,1k
tops/sassafras/sassafras-black-high-neck-cropped-top/12222036/buy,Rs. 449,4.4,SASSAFRAS,High Neck Cropped Top,Rs. 999,57.1k
tops/stylecast/stylecast-pink-self-design--round-neck-crop-top/25327340/buy,Rs. 799,3.5,StyleCast,Self Design Crop Top,Rs. 2249,13
tops/fablestreet/fablestreet-maroon--black-geometric-print-top/16935904/buy,Rs. 1274,4.3,FableStreet,Geometric Print Top,Rs. 1795,495
tops/inweave/inweave-ethnic-motifs-printed-round-neck-top/23952936/buy,Rs. 593,4.2,InWeave,Printed Round Neck Top,Rs. 2199,823
tops/chemistry/chemistry-geometric-puff-sleeve-georgette-top/24623640/buy,Rs. 799,4.2,Chemistry,Geometric Puff Sleeve Georgette Top,Rs. 1849,720
tops/stylecast/stylecast-top/27719324/buy,Rs. 849,3.8,StyleCast,Top Solid,Rs. 2149,166
tops/chemistry/chemistry-puff-sleeve-crepe-shirt-style-top/24623648/buy,Rs. 554,4.1,Chemistry,Puff Sleeve Crepe Shirt Style Top,Rs. 1849,953
tops/trendyol/trendyol-one-shoulder-extended-sleeves-top/29700140/buy,Rs. 974,4.1,Trendyol,One Shoulder Extended Sleeves Top,Rs. 1299,53
tops/all+about+you/all-about-you-teal-blue-floral-printed-mandarin-collar-cotton-top/29181432/buy,Rs. 679,4.4,all about you,Printed Cotton Top,Rs. 1999,283
tops/roadster/roadster-women-pink-solid-pure-cotton-top-with-button-details-on-side/11976808/buy,Rs. 279,4.1,Roadster,Button Details on Side Pure Cotton Top,Rs. 799,770
tops/dressberry/dressberry-bell-sleeve-cotton-schiffli-a-line-top/27421330/buy,Rs. 898,3.8,DressBerry,Bell Sleeve Schiffli Top,Rs. 3099,257
tops/chemistry/chemistry-puff-sleeve-crepe-shirt-style-top/24623638/buy,Rs. 554,4.1,Chemistry,Puff Sleeve Crepe Shirt Style Top,Rs. 1849,949
tops/uptownie/uptownie-porcelain-printed-stretchable-draped-crop-top/28535332/buy,Rs. 730,3.2,Uptownie,Floral Printed Crepe Top,Rs. 1699,93
tops/fithub/fithub-cuffed-sleeves-opaque-shirt-style-top/26725870/buy,Rs. 759,4.3,FITHUB,Opaque Shirt Style Top,Rs. 1999,1.7k
tops/fithub/fithub-cuffed-sleeves-opaque-shirt-style-top/26725868/buy,Rs. 759,4.3,FITHUB,Opaque Shirt Style Top,Rs. 1999,1.7k
tops/sassafras/sassafras-black-ribbed-scoop-neck-fitted-top/24956616/buy,Rs. 615,4.3,SASSAFRAS,Ribbed Scoop Neck Fitted Top,Rs. 1399,884
tops/rain+%26+rainbow/rain--rainbow-gather-a-line-print-top/18410560/buy,Rs. 778,4.2,Rain & Rainbow,Gather A-Line Print Top,Rs. 1995,2k
tops/stylecast/stylecast-extended-sleeves-top/28104088/buy,Rs. 949,3.9,StyleCast,Extended Sleeves Top,Rs. 2399,16
tops/h%26m/hm-square-neck-top/23611462/buy,,4.5,H&M,Square-Neck Top,,948
tops/sera/sera-women-black-floral-print-georgette-wrap-top/17784334/buy,Rs. 402,4.3,Sera,Women Floral Print Georgette Wrap Top,Rs. 1298,24.3k
tops/uptownie+lite/uptownie-lite-orange-cowl-neck-crop-top/23641570/buy,Rs. 527,4.1,Uptownie Lite,Orange Cowl Neck Crop Top,Rs. 1599,6.2k
tops/vishudh/vishudh-mustard--blue-ethnic-motifs-printed-pure-cotton-empire-top/15361606/buy,Rs. 350,4,Vishudh,Ethnic Motifs Printed Top,Rs. 899,3.1k
tops/fablestreet/fablestreet-women-rust-floral-print-shirt-style-top/17046856/buy,Rs. 1456,4.1,FableStreet,Rust Floral Shirt Style Top,Rs. 1995,383
tops/lulu+%26+sky/lulu--sky-graphic-print-shirt-style-top/25015952/buy,Rs. 1131,4.1,LULU & SKY,Graphic Print Shirt Style Top,Rs. 2695,80
tops/sangria/sangria-blue-embroidered-detail-a-line-top/18890690/buy,Rs. 647,4.1,Sangria,Embroidered Detail A-Line Top,Rs. 1799,943
tops/fablestreet/fablestreet-women-red-solid-top/13455568/buy,Rs. 1383,4.4,FableStreet,Solid Top,Rs. 1895,2.1k
tops/mast+%26+harbour/mast--harbour-white-solid-pure-cotton-puff-sleeve-shirt-style-top-with-lace-insert-detail/19570204/buy,Rs. 591,3.9,Mast & Harbour,Cotton Shirt Style Top,Rs. 1599,591
tops/tokyo+talkies/tokyo-talkies-off-white-embroidered-top/12289190/buy,Rs. 388,4.2,Tokyo Talkies,Embroidered Top,Rs. 1049,8.2k
tops/freakins/freakins-black-halter-neck-crop-cotton-top/21136246/buy,Rs. 1219,4.1,FREAKINS,Halter Neck Cotton Top,Rs. 1999,405
tops/baesd/baesd-abstract-printed-mandarin-collar-cotton-top/26548330/buy,Rs. 350,3.5,BAESD,Printed Cotton Top,Rs. 1349,1k
tops/anouk/anouk-geometric-print-roll-up-sleeves-cotton-shirt-style-top/28466926/buy,Rs. 679,4.1,Anouk,Geometric Shirt Style Top,Rs. 1999,182
tops/sangria/sangria-maroon-embroidered-longline-top/19066166/buy,Rs. 639,3.9,Sangria,Embroidered Top,Rs. 1999,9k
tops/anouk/anouk-striped-roll-up-sleeves-cotton-shirt-style-crop-top/24871702/buy,Rs. 699,4.3,Anouk,Striped Shirt Style Top,Rs. 1999,2.3k
tops/h%26m/-hm-balloon-sleeved-blouse/30064938/buy,,5,H&M,Balloon-Sleeved Blouse,,5
tops/kbz/kbz-cream--blue-ethnic-motifs-printed-cotton-top/17612048/buy,Rs. 879,4.2,KBZ,Printed Cotton Top,Rs. 2199,1.1k
tops/tokyo+talkies/tokyo-talkies-orange-floral-shirt-style-top/16256400/buy,Rs. 439,4.3,Tokyo Talkies,Floral Shirt Style Top,Rs. 949,3.9k
tops/athena/athena-white--black-colourblocked-pure-cotton-peplum-top/23201888/buy,Rs. 747,4.3,Athena,Colourblocked Peplum Top,Rs. 1699,2.3k
