URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/athena/athena-women-black-embellished-maxi-dress/11368696/buy,Rs. 1677,4.2,Athena,Women Embellished Maxi Dress,Rs. 3995,262
dresses/athena/athena-black-embellished-slit-sleeves-maxi-dress/10813300/buy,Rs. 1519,4.2,Athena,Slit Sleeves Maxi Dress,Rs. 3999,2.9k
dresses/janasya/janasya-women-yellow-georgette-floral-print-flared-western-dress/18922848/buy,Rs. 1263,4.1,Janasya,Floral A-Line Midi Dress,Rs. 2689,927
dresses/h%26m/hm-floral-printed-shirt-dress/27784748/buy,,3.8,H&M,Floral Printed Shirt Dress,,84
dresses/anouk/anouk-women-red--whitegeometric-printed-pure-cotton-fit-and-flare-midi-dress/19050226/buy,Rs. 639,3.5,Anouk,Women Printed Midi Dress,Rs. 1999,5.9k
dresses/anouk/anouk-floral-printed-roll-up-sleeves-belted-pleated-fit--flare-dress/27849892/buy,Rs. 971,4.2,Anouk,Pleated Fit & Flare Dress,Rs. 2699,416
dresses/antheaa/antheaa-white-floral-chiffon-embroidered-laced-a-line-dress/19078090/buy,Rs. 1304,4.3,Antheaa,Floral Chiffon A-Line Dress,Rs. 2899,1.6k
dresses/magre/magre-cream-coloured-shirt-collar-satin-sheath-dress/28743550/buy,Rs. 1399,4.2,MAGRE,Satin Sheath Dress,Rs. 2799,76
dresses/stylecast/stylecast-white-square-neck-puff-sleeves-maxi-dress/26022872/buy,Rs. 1399,3.8,StyleCast,Square Neck Maxi Dress,Rs. 3699,12
dresses/janasya/janasya-blue--white-floral-print-georgette-fit--flare-midi-dress/14867358/buy,Rs. 1126,4.2,Janasya,Floral Fit & Flare Midi Dress,Rs. 2298,2.8k
dresses/deebaco/deebaco-floral-printed-midi-shirt-dress/27878426/buy,Rs. 1926,3.8,DEEBACO,Floral Print Midi Shirt Dress,Rs. 4699,179
dresses/antheaa/antheaa-pink-shirt-collar-cuff-sleeves-pleated-sheath-midi-dress/24111980/buy,Rs. 1124,4.2,Antheaa,Shirt Collar Sheath Midi Dress,Rs. 2499,844
ethnic-dresses/anayna/anayna-women-red-floral-swirling-volume-dress/16477694/buy,Rs. 1204,4.5,anayna,Floral Swirling Volume Dress,Rs. 4300,2k
dresses/varanga/varanga-crepe-a-line-midi-dress/24591414/buy,Rs. 689,3.8,Varanga,Crepe A-Line Midi Dress,Rs. 2999,1.2k
dresses/antheaa/antheaa-embelllished-v-neck-flared-sleeves-fit--flare-dress/25158474/buy,Rs. 1109,4.1,Antheaa,Embelllished V-Neck Dress,Rs. 2999,693
dresses/antheaa/antheaa-embelllished-v-neck-flared-sleeves-fit--flare-dress/25158474/buy,Rs. 1109,4.1,Antheaa,Embelllished V-Neck Dress,Rs. 2999,693
dresses/sassafras/sassafras-bodycon-sheath-dress/23172576/buy,Rs. 683,4.5,SASSAFRAS,Bodycon Sheath Dress,Rs. 1799,2.9k
dresses/athena/athena-denim-shirt-dress/27842086/buy,Rs. 1119,4,Athena,Denim Shirt Dress,Rs. 2799,281
dresses/baesd/baesd-floral-print--smocked-fit--flare-dress/29904487/buy,Rs. 599,4.4,BAESD,Floral Print Fit & Flare Dress,Rs. 4999,37
